%Autor: Josu Barrutia, Facultad de Informática, UPV-EHU
%El siguiente dataset fue extraído de la API de https://www.worldweatheronline.com/weather-api/api/ en base a un proyecto de Minería de Datos
%
%Recoge los datos meteorológicos del año 2022 en Donosti, cada instancia está separada de la siguiente por tres horas
%
%Total de instancias: 2760
%Total de atributos: 13
%
%Variables predictoras:
% 1.tepmC temperatura en grados centígrados
% 2.windspeedKmph velocidad del viento en km/h
% 3.precip variable clase que indica si llueve (1) o no (0)
% 4.humidity humedad en %
% 5.visibility visibilidad en km
% 6.pressure presión en mb
% 7.cloudcover nubosidad en %
% 8.HeatIndexC índice de calor en grados centígrados
% 9.DewPointC punto de rocío en grados centígrados
% 10.WindChillC pérdida de calor que produce en el cuerpo una masa de aire frío en movimiento
% 11.WindGustKmph ráfagas de viento en km/h
% 12.FeelsLikeC sensación térmica en grados centígrados
% 13.uvIndex índice de radiación ultravioleta
%
%
%Si elegimos la variable precip como clase, podemos realizar una clasificación binaria para predecir si un día lloverá o no
%Un 75% de las instancias pertenecen a la clase 0 (no llueve) y un 25% a la clase 1 (llueve)
%
%
%
%
tempC,windspeedKmph,precip,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex
6,4,0,77,10,1033,0,6,3,6,5,6,1
4,4,0,80,10,1034,1,4,0,3,6,3,1
3,6,0,82,10,1034,3,3,0,1,12,1,1
2,8,0,82,10,1034,0,2,-1,0,15,0,1
3,8,0,80,10,1032,0,3,-1,0,15,0,2
3,8,0,75,10,1032,4,3,-2,0,15,0,2
9,6,0,55,10,1032,0,9,0,8,8,8,3
14,9,0,51,10,1030,0,14,4,13,10,13,4
9,12,0,71,10,1031,2,9,4,7,15,7,1
4,12,0,76,10,1033,32,4,0,1,26,1,1
4,13,0,68,10,1034,0,4,-1,1,26,1,1
4,14,0,69,10,1033,0,4,-1,0,30,0,1
3,15,0,70,10,1033,0,3,-2,0,31,0,2
4,14,0,67,10,1033,0,4,-2,0,30,0,2
11,9,0,49,10,1033,5,11,1,10,10,10,4
13,3,0,46,10,1031,6,13,2,13,3,13,4
8,7,0,64,10,1031,33,8,1,7,14,7,1
5,9,0,61,10,1031,2,5,-2,3,19,3,1
4,9,0,57,10,1031,0,4,-4,2,18,2,1
3,8,0,56,10,1029,0,3,-5,1,17,1,1
3,8,0,55,10,1029,0,3,-5,1,17,1,2
3,8,0,53,10,1029,0,3,-6,1,17,1,2
10,3,0,43,10,1028,0,10,-2,10,3,10,4
12,3,0,45,10,1026,0,12,0,13,4,13,4
8,4,0,65,10,1026,0,8,1,7,6,7,1
4,7,0,69,10,1027,0,4,-1,2,15,2,1
4,9,0,67,10,1027,0,4,-2,1,19,1,1
3,9,0,66,10,1027,0,3,-3,1,20,1,1
3,9,0,67,10,1027,3,3,-3,0,20,0,2
3,9,0,67,10,1028,16,3,-2,1,20,1,2
10,4,0,51,10,1029,7,10,1,11,4,11,4
12,6,0,51,10,1028,8,12,2,11,7,11,4
7,6,0,71,10,1030,14,7,2,6,13,6,1
6,7,0,74,10,1032,7,6,1,4,14,4,1
4,5,0,72,10,1035,7,4,-1,3,10,3,1
3,5,0,72,10,1035,11,3,-2,2,10,2,1
3,4,0,72,10,1035,77,3,-2,2,9,2,1
3,4,0,75,10,1036,21,3,-2,2,9,2,2
8,5,0,60,10,1036,0,8,1,8,6,8,3
12,8,0,60,10,1034,0,12,5,12,9,12,4
7,5,0,81,10,1034,0,7,4,7,8,7,1
4,6,0,87,10,1034,0,4,2,3,14,3,1
3,6,0,83,10,1034,0,3,1,2,13,2,1
3,6,0,82,10,1033,0,3,0,1,13,1,1
2,6,0,81,10,1031,0,2,-1,1,12,1,2
3,5,0,80,10,1032,0,3,0,2,10,2,2
10,4,0,66,10,1032,0,10,4,10,4,10,3
10,5,0,70,10,1030,0,10,5,10,6,10,4
6,3,0,88,10,1031,9,6,4,6,5,6,1
5,6,0,89,10,1032,16,5,3,3,13,3,1
4,8,0,88,10,1033,23,4,3,3,16,3,1
4,8,0,88,10,1033,20,4,2,2,16,2,1
4,8,0,88,10,1032,38,4,2,2,16,2,2
4,8,0,90,10,1032,26,4,3,2,15,2,2
10,4,0,75,10,1033,28,10,5,9,5,9,3
10,6,0,72,10,1030,32,10,6,10,7,10,4
7,3,0,85,10,1030,11,7,5,7,4,7,1
5,6,0,89,10,1030,11,5,4,4,13,4,1
7,6,0,76,10,1035,94,7,3,6,10,6,1
7,4,0,77,10,1034,100,7,3,7,6,7,1
7,6,0,81,10,1033,100,7,4,6,11,6,2
7,8,0,86,10,1033,100,7,5,6,11,6,2
8,7,1,84,10,1033,100,8,6,7,9,7,2
9,9,1,91,2,1031,97,9,8,8,11,8,2
8,18,1,87,10,1031,96,8,6,5,23,5,1
7,14,1,78,10,1032,97,7,3,4,21,4,1
6,18,1,83,10,1032,95,6,3,3,26,3,1
5,16,1,83,10,1032,95,5,2,1,23,1,1
4,15,1,76,10,1032,93,4,0,0,23,0,1
2,15,0,84,10,1033,41,2,0,-2,21,-2,2
4,13,0,73,10,1035,64,4,0,1,15,1,1
5,13,0,65,10,1033,80,5,-1,2,14,2,2
6,17,0,65,10,1033,22,6,-1,2,20,2,1
4,18,0,70,10,1035,21,4,-2,-1,26,-1,1
2,10,0,84,10,1035,31,2,0,-1,17,-1,1
1,5,0,88,10,1034,4,1,-1,0,9,0,1
1,6,0,89,10,1034,13,1,-1,-1,9,-1,2
1,4,0,89,10,1035,16,1,-1,0,6,0,2
5,6,0,70,10,1035,16,5,0,3,8,3,2
6,6,0,68,10,1033,14,6,0,4,7,4,3
4,3,0,82,10,1033,38,4,1,4,4,4,1
2,4,0,87,10,1033,2,2,0,2,7,2,1
2,5,0,87,10,1032,0,2,0,0,10,0,1
1,5,0,86,10,1031,0,1,-1,0,10,0,1
1,6,0,85,10,1030,0,1,-1,-1,12,-1,2
2,5,0,83,10,1030,0,2,-1,0,10,0,2
8,2,0,65,10,1030,0,8,2,8,3,8,3
9,5,0,68,10,1028,0,9,4,9,6,9,3
7,3,0,86,10,1028,0,7,5,7,3,7,1
3,5,0,88,10,1029,3,3,1,2,10,2,1
3,10,0,73,10,1027,0,3,-1,0,22,0,1
3,10,0,72,10,1028,0,3,-2,0,22,0,1
3,11,0,73,10,1027,0,3,-2,-1,23,-1,2
3,10,0,75,10,1028,0,3,-1,1,21,1,2
11,4,0,58,10,1029,0,11,3,11,5,11,4
14,4,0,56,10,1028,0,14,5,14,4,14,4
9,6,0,78,10,1029,0,9,5,8,11,8,1
6,8,0,80,10,1031,0,6,3,4,17,4,1
5,9,0,79,10,1032,0,5,2,3,20,3,1
4,10,0,77,10,1032,0,4,1,2,21,2,1
4,9,0,77,10,1033,0,4,0,2,20,2,2
4,10,0,76,10,1033,0,4,0,2,21,2,2
12,5,0,55,10,1034,0,12,3,12,6,12,4
14,6,0,53,10,1032,0,14,4,14,7,14,4
9,6,0,75,10,1032,0,9,5,8,12,8,1
6,8,0,76,10,1033,0,6,2,5,16,5,1
5,8,0,73,10,1033,0,5,1,4,17,4,1
5,7,0,73,10,1033,0,5,0,3,15,3,1
4,7,0,73,10,1033,0,4,0,2,14,2,2
4,6,0,73,10,1033,0,4,0,3,14,3,2
12,3,0,57,10,1033,0,12,3,12,4,12,4
11,6,0,60,10,1030,0,11,4,11,7,11,4
8,6,0,78,10,1030,0,8,4,7,10,7,1
5,4,0,84,10,1032,0,5,3,5,9,5,1
5,5,0,81,10,1032,0,5,2,4,11,4,1
4,5,0,80,10,1032,0,4,1,3,11,3,1
4,5,0,80,10,1031,0,4,1,3,11,3,2
4,4,0,76,10,1032,0,4,1,4,9,4,2
11,3,0,65,10,1033,0,11,5,11,3,11,4
11,6,0,65,10,1032,0,11,5,11,7,11,4
9,3,0,84,10,1032,0,9,6,9,4,9,1
5,1,0,86,10,1034,0,5,3,5,2,5,1
4,5,0,85,10,1034,0,4,1,3,10,3,1
4,7,0,87,10,1035,0,4,2,2,15,2,1
3,5,0,86,10,1034,0,3,1,2,11,2,2
4,3,0,87,10,1036,3,4,2,4,6,4,2
10,5,0,68,10,1037,0,10,4,10,6,10,3
9,7,0,65,10,1036,6,9,3,8,8,8,3
6,4,0,79,10,1036,10,6,2,5,7,5,1
4,5,0,84,10,1037,22,4,1,3,10,3,1
5,5,0,84,10,1037,82,5,3,5,9,5,1
4,4,0,90,10,1036,29,4,3,4,9,4,1
4,4,0,92,10,1036,29,4,3,3,9,3,2
5,4,0,93,10,1036,35,5,4,4,6,4,2
10,2,0,76,10,1036,3,10,6,10,2,10,3
10,7,0,70,10,1035,5,10,5,9,8,9,4
8,4,0,83,10,1034,3,8,5,8,6,8,1
5,3,0,86,10,1035,5,5,3,5,7,5,1
4,5,0,87,10,1035,20,4,2,3,10,3,1
3,5,0,86,10,1034,12,3,1,2,10,2,1
3,5,0,83,10,1033,9,3,0,2,10,2,2
3,5,0,82,10,1033,11,3,1,2,10,2,2
9,5,0,67,10,1031,7,9,3,9,5,9,3
10,7,0,69,10,1029,8,10,5,9,8,9,3
6,4,0,88,10,1029,77,6,5,6,6,6,1
7,5,0,86,10,1029,94,7,4,6,9,6,1
6,5,0,89,10,1031,93,6,4,5,9,5,1
6,9,1,91,10,1031,84,6,5,5,18,5,1
7,10,1,92,10,1031,91,7,6,5,18,5,2
8,17,1,93,10,1033,100,8,7,6,26,6,2
10,20,1,91,10,1032,100,10,8,7,26,7,2
10,23,1,89,10,1032,100,10,9,7,28,7,3
9,21,1,84,10,1032,100,9,6,6,29,6,1
8,19,1,85,10,1034,100,8,6,5,29,5,1
7,23,1,84,10,1034,100,7,5,4,35,4,1
8,23,1,82,10,1034,100,8,5,5,31,5,1
8,21,1,76,10,1034,88,8,4,5,30,5,2
8,16,0,81,10,1035,100,8,5,6,22,6,2
9,10,0,82,10,1036,100,9,6,8,12,8,2
10,13,0,85,10,1035,100,10,7,8,15,8,2
10,16,1,88,10,1035,100,10,8,7,22,7,1
9,12,1,90,10,1035,100,9,7,7,19,7,1
7,23,1,84,10,1034,100,7,5,4,35,4,1
8,23,1,82,10,1034,100,8,5,5,31,5,1
8,21,1,76,10,1034,88,8,4,5,30,5,2
8,16,0,81,10,1035,100,8,5,6,22,6,2
9,10,0,82,10,1036,100,9,6,8,12,8,2
10,13,0,85,10,1035,100,10,7,8,15,8,2
10,16,1,88,10,1035,100,10,8,7,22,7,1
9,12,1,90,10,1035,100,9,7,7,19,7,1
8,6,1,89,10,1034,78,8,6,7,11,7,1
7,4,0,89,10,1033,74,7,6,7,6,7,1
7,3,0,89,10,1032,66,7,6,7,6,7,2
8,5,0,90,10,1031,66,8,6,7,8,7,2
11,4,0,80,10,1030,38,11,8,12,5,12,4
13,8,0,74,10,1027,0,13,9,13,9,13,4
13,9,0,88,10,1025,0,13,11,12,11,12,1
7,8,0,90,10,1025,0,7,6,6,16,6,1
6,8,0,81,10,1024,0,6,3,4,16,4,1
6,8,0,65,10,1022,0,6,0,4,16,4,1
5,8,0,66,10,1023,0,5,-1,3,17,3,3
5,6,0,66,10,1023,42,5,-1,4,14,4,3
13,6,0,58,10,1023,3,13,5,13,7,13,4
14,11,0,67,10,1023,6,14,8,13,13,13,4
9,8,0,94,10,1024,49,9,8,8,14,8,1
7,5,0,93,10,1025,17,7,6,6,11,6,1
7,6,0,93,10,1025,52,7,6,7,12,7,1
7,6,0,92,10,1024,32,7,6,6,14,6,1
7,6,0,91,10,1025,61,7,6,6,13,6,3
9,6,0,88,10,1026,94,9,7,9,10,9,2
12,4,0,80,10,1027,80,12,9,12,5,12,3
12,7,1,80,10,1026,72,12,9,11,9,11,3
10,7,1,91,10,1026,67,10,9,9,10,9,1
9,5,1,90,10,1027,77,9,8,9,9,9,1
9,9,1,88,10,1028,51,9,7,8,15,8,1
8,9,1,93,10,1028,100,8,7,7,15,7,1
7,14,1,87,10,1030,100,7,5,5,21,5,2
7,6,0,83,10,1031,50,7,5,6,9,6,3
11,8,0,66,10,1033,2,11,5,10,9,10,4
12,10,0,57,10,1032,0,12,4,11,11,11,4
8,6,0,72,10,1033,0,8,3,7,8,7,1
5,2,0,78,10,1034,16,5,2,5,3,5,1
5,6,0,82,10,1034,13,5,2,3,11,3,1
4,8,0,84,10,1033,3,4,2,3,14,3,1
3,6,0,87,10,1032,22,3,1,2,12,2,2
5,4,0,83,10,1034,10,5,2,5,6,5,2
10,5,0,67,10,1034,26,10,4,9,6,9,3
11,6,0,63,10,1033,13,11,4,10,6,10,4
7,5,0,77,10,1033,100,7,4,7,9,7,1
6,6,0,80,10,1035,100,6,2,4,13,4,1
8,8,0,74,10,1033,100,8,3,6,15,6,1
8,9,0,77,10,1033,86,8,4,7,16,7,1
8,10,0,83,10,1032,100,8,5,6,19,6,2
9,10,1,87,10,1033,100,9,7,7,14,7,2
11,10,1,86,10,1034,100,11,8,9,12,9,3
11,10,1,91,10,1033,96,11,9,9,12,9,3
10,6,1,91,10,1033,84,10,9,9,8,9,1
8,3,0,92,10,1034,26,8,6,8,6,8,1
8,4,1,93,10,1034,75,8,7,7,8,7,1
8,4,0,93,10,1033,76,8,7,8,6,8,1
8,4,0,94,10,1032,70,8,7,8,6,8,2
7,7,0,92,10,1032,17,7,6,6,11,6,3
13,5,0,75,10,1031,0,13,8,13,6,13,4
15,8,0,66,10,1028,0,15,8,15,9,15,4
12,8,0,79,10,1027,0,12,9,12,14,12,1
9,11,0,82,10,1028,0,9,6,7,23,7,1
8,12,0,78,10,1028,0,8,5,6,26,6,1
8,13,0,78,10,1028,0,8,4,5,28,5,1
7,12,0,79,10,1028,0,7,4,5,25,5,3
8,11,0,80,10,1028,0,8,5,6,22,6,3
15,6,0,59,10,1028,0,15,7,15,7,15,4
18,0,0,52,10,1026,0,18,8,18,0,18,5
